,State,F Year,f Gender,ICD-10 113 Cause List,F Under 5 years,F 5-9 years,F 10-14 years,F 15-19 years,F 20-24 years,F 25-29 years,F 30-34 years,F 35-39 years,F 40-44 years,F 45-49 years,F 50-54 years,F 55-59 years,F 60-64 years,F 65-69 years,F 70-74 years,F 75-79 years,F 80-84 years,F 85years and older,F Not Stated,C Year,C Total population,C Male Total population,C Female Total population,C Under 5 years,C 5 to 9 years,C 10 to 14 years,C 15 to 19 years,C 20 to 24 years,C 25 to 29 years,C 30 to 34 years,C 35 to 39 years,C 40 to 44 years,C 45 to 49 years,C 50 to 54 years,C 55 to 59 years,C 60 to 64 years,C 65 to 69 years,C 70 to 74 years,C 75 to 79 years,C 80 to 84 years,C 85 years and over,Total Deaths
0,Alabama,2009,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,4713550,2283346,2430204,313461.973,310970.85,319278.772,333781.331,332607.254,318211.173,294550.306,309873.146,332490.547,348408.373,329415.067,291451.348,243428.641,188864.463,152783.538,125535.068,91576.611,77806.246,0
1,Alabama,2009,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,4713550,2283346,2430204,313461.973,310970.85,319278.772,333781.331,332607.254,318211.173,294550.306,309873.146,332490.547,348408.373,329415.067,291451.348,243428.641,188864.463,152783.538,125535.068,91576.611,77806.246,0
2,Alabama,2009,Female,Suicide,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,2009,4713550,2283346,2430204,313461.973,310970.85,319278.772,333781.331,332607.254,318211.173,294550.306,309873.146,332490.547,348408.373,329415.067,291451.348,243428.641,188864.463,152783.538,125535.068,91576.611,77806.246,21
3,Alabama,2009,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,4713550,2283346,2430204,313461.973,310970.85,319278.772,333781.331,332607.254,318211.173,294550.306,309873.146,332490.547,348408.373,329415.067,291451.348,243428.641,188864.463,152783.538,125535.068,91576.611,77806.246,0
4,Alabama,2009,Male,Homicide,0,0,0,18,46,48,36,24,18,22,13,0,0,0,0,0,0,0,0,2009,4713550,2283346,2430204,313461.973,310970.85,319278.772,333781.331,332607.254,318211.173,294550.306,309873.146,332490.547,348408.373,329415.067,291451.348,243428.641,188864.463,152783.538,125535.068,91576.611,77806.246,225
5,Alabama,2009,Male,Suicide,0,0,0,12,32,22,21,27,33,34,39,40,44,25,23,24,13,12,0,2009,4713550,2283346,2430204,313461.973,310970.85,319278.772,333781.331,332607.254,318211.173,294550.306,309873.146,332490.547,348408.373,329415.067,291451.348,243428.641,188864.463,152783.538,125535.068,91576.611,77806.246,401
6,Alabama,2010,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,4862140,2359069,2503071,312439.165,320933.93,327555.749,353682.19299999997,339792.208,318065.864,299820.322,320036.984,333840.51,358849.45,347709.224,310238.74,264691.387,204245.62,162003.452,124235.018,90592.404,76841.01699999999,0
7,Alabama,2010,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,4862140,2359069,2503071,312439.165,320933.93,327555.749,353682.19299999997,339792.208,318065.864,299820.322,320036.984,333840.51,358849.45,347709.224,310238.74,264691.387,204245.62,162003.452,124235.018,90592.404,76841.01699999999,0
8,Alabama,2010,Female,Suicide,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,2010,4862140,2359069,2503071,312439.165,320933.93,327555.749,353682.19299999997,339792.208,318065.864,299820.322,320036.984,333840.51,358849.45,347709.224,310238.74,264691.387,204245.62,162003.452,124235.018,90592.404,76841.01699999999,21
9,Alabama,2010,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,4862140,2359069,2503071,312439.165,320933.93,327555.749,353682.19299999997,339792.208,318065.864,299820.322,320036.984,333840.51,358849.45,347709.224,310238.74,264691.387,204245.62,162003.452,124235.018,90592.404,76841.01699999999,0
10,Alabama,2010,Male,Homicide,0,0,0,27,49,34,37,23,12,18,13,10,10,0,0,0,0,0,0,2010,4862140,2359069,2503071,312439.165,320933.93,327555.749,353682.19299999997,339792.208,318065.864,299820.322,320036.984,333840.51,358849.45,347709.224,310238.74,264691.387,204245.62,162003.452,124235.018,90592.404,76841.01699999999,233
11,Alabama,2010,Male,Suicide,0,0,0,18,28,32,22,19,38,40,37,33,29,21,17,18,13,0,0,2010,4862140,2359069,2503071,312439.165,320933.93,327555.749,353682.19299999997,339792.208,318065.864,299820.322,320036.984,333840.51,358849.45,347709.224,310238.74,264691.387,204245.62,162003.452,124235.018,90592.404,76841.01699999999,365
12,Alabama,2011,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,5081072,2469428,2611644,322372.922,328528.527,337559.277,367288.094,362082.66099999996,329019.922,313149.662,326650.424,339991.267,370851.336,367275.288,328095.738,289561.612,220689.85,169810.156,130620.439,96343.314,81442.062,0
13,Alabama,2011,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,5081072,2469428,2611644,322372.922,328528.527,337559.277,367288.094,362082.66099999996,329019.922,313149.662,326650.424,339991.267,370851.336,367275.288,328095.738,289561.612,220689.85,169810.156,130620.439,96343.314,81442.062,0
14,Alabama,2011,Female,Suicide,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,2011,5081072,2469428,2611644,322372.922,328528.527,337559.277,367288.094,362082.66099999996,329019.922,313149.662,326650.424,339991.267,370851.336,367275.288,328095.738,289561.612,220689.85,169810.156,130620.439,96343.314,81442.062,27
15,Alabama,2011,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,5081072,2469428,2611644,322372.922,328528.527,337559.277,367288.094,362082.66099999996,329019.922,313149.662,326650.424,339991.267,370851.336,367275.288,328095.738,289561.612,220689.85,169810.156,130620.439,96343.314,81442.062,0
16,Alabama,2011,Male,Homicide,0,0,0,31,44,39,43,12,19,14,12,0,0,0,0,0,0,0,0,2011,5081072,2469428,2611644,322372.922,328528.527,337559.277,367288.094,362082.66099999996,329019.922,313149.662,326650.424,339991.267,370851.336,367275.288,328095.738,289561.612,220689.85,169810.156,130620.439,96343.314,81442.062,214
17,Alabama,2011,Male,Suicide,0,0,0,18,32,22,27,23,23,31,33,37,39,22,20,17,20,0,0,2011,5081072,2469428,2611644,322372.922,328528.527,337559.277,367288.094,362082.66099999996,329019.922,313149.662,326650.424,339991.267,370851.336,367275.288,328095.738,289561.612,220689.85,169810.156,130620.439,96343.314,81442.062,364
18,Alabama,2012,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,4866478,2363464,2503014,309366.07,314406.448,323053.874,342714.325,344492.103,313081.226,301833.733,307901.396,321323.257,348830.614,353860.745,317324.12,286990.115,219613.718,165056.89,125577.249,91350.231,79572.687,0
19,Alabama,2012,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,4866478,2363464,2503014,309366.07,314406.448,323053.874,342714.325,344492.103,313081.226,301833.733,307901.396,321323.257,348830.614,353860.745,317324.12,286990.115,219613.718,165056.89,125577.249,91350.231,79572.687,0
20,Alabama,2012,Female,Suicide,0,0,0,0,0,0,0,12,11,13,12,0,0,0,0,0,0,0,0,2012,4866478,2363464,2503014,309366.07,314406.448,323053.874,342714.325,344492.103,313081.226,301833.733,307901.396,321323.257,348830.614,353860.745,317324.12,286990.115,219613.718,165056.89,125577.249,91350.231,79572.687,48
21,Alabama,2012,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,4866478,2363464,2503014,309366.07,314406.448,323053.874,342714.325,344492.103,313081.226,301833.733,307901.396,321323.257,348830.614,353860.745,317324.12,286990.115,219613.718,165056.89,125577.249,91350.231,79572.687,0
22,Alabama,2012,Male,Homicide,0,0,0,29,58,34,34,30,20,14,16,0,0,0,0,0,0,0,0,2012,4866478,2363464,2503014,309366.07,314406.448,323053.874,342714.325,344492.103,313081.226,301833.733,307901.396,321323.257,348830.614,353860.745,317324.12,286990.115,219613.718,165056.89,125577.249,91350.231,79572.687,235
