State,F Year,f Gender,ICD-10 113 Cause List,F Under 5 years,F 5-9 years,F 10-14 years,F 15-19 years,F 20-24 years,F 25-29 years,F 30-34 years,F 35-39 years,F 40-44 years,F 45-49 years,F 50-54 years,F 55-59 years,F 60-64 years,F 65-69 years,F 70-74 years,F 75-79 years,F 80-84 years,F 85years and older,F Not Stated
Alabama,2009,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2009,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2009,Female,Suicide,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0
Alabama,2009,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2009,Male,Homicide,0,0,0,18,46,48,36,24,18,22,13,0,0,0,0,0,0,0,0
Alabama,2009,Male,Suicide,0,0,0,12,32,22,21,27,33,34,39,40,44,25,23,24,13,12,0
Alabama,2010,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2010,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2010,Female,Suicide,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0
Alabama,2010,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2010,Male,Homicide,0,0,0,27,49,34,37,23,12,18,13,10,10,0,0,0,0,0,0
Alabama,2010,Male,Suicide,0,0,0,18,28,32,22,19,38,40,37,33,29,21,17,18,13,0,0
Alabama,2011,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2011,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2011,Female,Suicide,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0
Alabama,2011,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2011,Male,Homicide,0,0,0,31,44,39,43,12,19,14,12,0,0,0,0,0,0,0,0
Alabama,2011,Male,Suicide,0,0,0,18,32,22,27,23,23,31,33,37,39,22,20,17,20,0,0
Alabama,2012,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2012,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2012,Female,Suicide,0,0,0,0,0,0,0,12,11,13,12,0,0,0,0,0,0,0,0
Alabama,2012,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2012,Male,Homicide,0,0,0,29,58,34,34,30,20,14,16,0,0,0,0,0,0,0,0
Alabama,2012,Male,Suicide,0,0,0,17,25,30,22,27,35,39,41,35,37,34,23,15,24,0,0
Alabama,2013,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2013,Female,Homicide,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2013,Female,Suicide,0,0,0,0,0,0,0,0,15,11,0,13,12,0,0,0,0,0,0
Alabama,2013,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2013,Male,Homicide,0,0,0,24,52,42,44,29,23,16,15,10,0,0,0,0,0,0,0
Alabama,2013,Male,Suicide,0,0,0,11,35,36,32,23,22,29,51,39,28,28,23,29,14,0,0
Alabama,2014,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2014,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2014,Female,Suicide,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Alabama,2014,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2014,Male,Homicide,0,0,0,20,42,41,35,37,27,12,10,0,0,0,0,0,0,0,0
Alabama,2014,Male,Suicide,0,0,0,12,23,22,30,33,39,32,39,34,38,20,26,19,11,0,0
Alabama,2015,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2015,Female,Homicide,0,0,0,0,15,0,11,0,0,12,0,0,0,0,0,0,0,0,0
Alabama,2015,Female,Suicide,0,0,0,0,0,0,10,0,11,10,0,10,13,0,0,0,0,0,0
Alabama,2015,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
